acc_x,acc_y,acc_z,vib,Earthquake
338,340,417,96,Normal
338,341,417,96,Normal
344,347,424,97,Normal
339,340,416,97,Normal
339,340,418,97,Normal
340,344,420,96,Normal
338,342,418,97,Normal
340,342,419,97,Normal
339,342,418,96,Normal
338,341,417,96,Normal
338,341,417,97,Normal
339,341,418,96,Normal
340,341,417,97,Normal
339,342,418,96,Normal
339,340,417,97,Normal
340,340,420,96,Normal
340,340,418,96,Normal
339,342,417,97,Normal
340,342,418,96,Normal
340,343,419,96,Normal
340,342,418,97,Normal
340,342,419,97,Normal
339,343,417,96,Normal
340,341,418,97,Normal
339,341,417,97,Normal
340,343,418,96,Normal
340,340,417,97,Normal
340,343,419,97,Normal
339,341,417,96,Normal
340,342,417,97,Normal
338,341,417,97,Normal
339,343,418,97,Normal
340,342,417,97,Normal
338,342,418,96,Normal
339,340,420,96,Normal
340,342,418,97,Normal
339,340,418,97,Normal
340,346,420,97,Normal
342,343,421,97,Normal
338,341,417,96,Normal
338,341,418,97,Normal
340,342,417,96,Normal
339,341,418,96,Normal
339,341,417,96,Normal
340,343,418,97,Normal
339,341,419,96,Normal
339,341,417,96,Normal
339,343,419,97,Normal
339,342,417,96,Normal
338,341,416,96,Normal
339,341,417,97,Normal
339,342,416,97,Normal
338,341,419,96,Normal
344,346,423,98,Normal
338,342,416,96,Normal
342,344,421,98,Normal
339,342,417,97,Normal
338,341,418,96,Normal
340,343,419,96,Normal
339,342,419,96,Normal
338,342,417,96,Normal
339,340,418,97,Normal
339,341,417,97,Normal
338,338,417,96,Normal
340,345,419,96,Normal
341,346,420,96,Normal
343,344,423,97,Normal
339,340,418,97,Normal
341,344,418,97,Normal
339,340,419,97,Normal
338,342,416,96,Normal
339,342,418,97,Normal
341,344,421,97,Normal
338,341,417,96,Normal
342,344,422,97,Normal
339,342,419,96,Normal
342,344,422,97,Normal
338,341,417,96,Normal
339,342,417,97,Normal
341,346,418,97,Normal
339,343,419,96,Normal
339,343,417,97,Normal
339,342,416,96,Normal
339,342,417,97,Normal
339,341,419,97,Normal
339,342,418,97,Normal
342,344,421,97,Normal
339,343,417,96,Normal
339,342,418,97,Normal
343,346,423,98,Normal
337,340,416,97,Normal
340,342,418,96,Normal
338,343,416,96,Normal
338,340,417,97,Normal
341,341,420,97,Normal
339,343,417,97,Normal
338,341,418,97,Normal
339,342,418,96,Normal
339,342,419,96,Normal
342,344,421,97,Normal
339,342,418,96,Normal
339,341,416,96,Normal
339,340,418,96,Normal
338,341,416,96,Normal
340,340,419,97,Normal
338,343,418,97,Normal
339,341,417,97,Normal
337,342,416,96,Normal
339,342,418,97,Normal
340,343,418,96,Normal
343,346,423,97,Normal
339,341,418,96,Normal
339,342,418,97,Normal
340,342,418,97,Normal
340,343,418,96,Normal
337,339,416,96,Normal
339,342,417,97,Normal
339,342,418,96,Normal
339,338,419,96,Normal
344,348,424,97,Normal
339,342,415,97,Normal
340,344,419,96,Normal
339,341,417,97,Normal
338,341,418,96,Normal
339,342,418,96,Normal
339,342,418,96,Normal
339,340,417,97,Normal
339,342,417,97,Normal
339,341,416,95,Normal
339,341,418,96,Normal
339,340,417,96,Normal
340,345,417,97,Normal
339,340,417,96,Normal
340,343,419,97,Normal
340,341,417,97,Normal
341,344,418,97,Normal
339,342,419,96,Normal
339,340,418,96,Normal
340,341,419,96,Normal
340,342,418,97,Normal
339,341,417,97,Normal
340,339,417,96,Normal
338,339,418,96,Normal
339,342,418,97,Normal
339,341,421,97,Normal
338,336,418,97,Normal
339,339,418,96,Normal
340,342,419,96,Normal
339,340,416,96,Normal
339,340,418,97,Normal
341,342,420,97,Normal
338,340,417,96,Normal
338,340,418,97,Normal
338,340,417,97,Normal
338,337,421,97,Normal
339,337,418,97,Normal
339,341,416,96,Normal
341,343,419,97,Normal
340,341,418,97,Normal
339,341,417,96,Normal
339,340,418,96,Normal
339,341,418,97,Normal
339,341,418,97,Normal
338,340,417,97,Normal
338,340,417,96,Normal
338,340,417,96,Normal
340,344,419,96,Normal
338,339,418,96,Normal
339,340,419,97,Normal
338,340,417,97,Normal
339,341,418,97,Normal
339,340,418,96,Normal
339,340,419,97,Normal
338,340,418,97,Normal
340,340,418,96,Normal
338,340,417,97,Normal
340,344,418,97,Normal
339,338,418,97,Normal
339,338,417,96,Normal
339,339,417,96,Normal
341,343,422,97,Normal
341,342,420,97,Normal
339,340,418,97,Normal
338,341,418,96,Normal
339,340,417,96,Normal
340,341,418,96,Normal
338,339,421,97,Normal
340,341,416,96,Normal
338,342,416,97,Normal
339,339,418,96,Normal
341,342,418,96,Normal
344,346,424,98,Normal
340,342,419,97,Normal
339,342,416,96,Normal
339,340,418,96,Normal
339,341,418,96,Normal
340,340,421,97,Normal
339,341,419,97,Normal
339,342,419,96,Normal
339,341,417,96,Normal
339,341,416,96,Normal
340,342,418,97,Normal
339,341,418,97,Normal
339,342,419,96,Normal
338,340,417,96,Normal
339,340,416,97,Normal
338,340,417,97,Normal
338,339,419,97,Normal
340,343,417,96,Normal
339,338,418,96,Normal
338,339,417,96,Normal
340,341,418,96,Normal
340,341,418,96,Normal
339,341,417,96,Normal
340,343,420,96,Normal
338,341,417,96,Normal
340,341,419,97,Normal
339,342,419,96,Normal
340,339,419,97,Normal
338,342,416,96,Normal
339,340,417,96,Normal
339,341,417,97,Normal
338,340,416,97,Normal
339,339,417,96,Normal
339,339,417,97,Normal
339,342,416,96,Normal
339,340,418,97,Normal
340,344,419,96,Normal
339,338,418,96,Normal
343,345,424,97,Normal
338,340,418,97,Normal
338,341,417,97,Normal
339,341,418,97,Normal
339,341,418,97,Normal
339,340,418,96,Normal
339,341,419,96,Normal
340,343,416,96,Normal
339,342,417,96,Normal
338,341,417,96,Normal
339,342,417,96,Normal
338,341,416,97,Normal
339,341,418,97,Normal
339,341,417,96,Normal
338,340,418,96,Normal
338,340,417,96,Normal
339,340,419,97,Normal
339,342,419,96,Normal
339,338,418,97,Normal
338,340,418,97,Normal
339,339,418,97,Normal
339,341,418,96,Normal
339,341,418,96,Normal
339,340,416,97,Normal
339,341,417,96,Normal
338,343,413,96,Normal
340,343,419,96,Normal
339,342,418,96,Normal
342,344,422,97,Normal
340,342,419,97,Normal
338,341,418,96,Normal
338,341,417,97,Normal
337,341,418,96,Normal
343,344,422,97,Normal
338,342,419,96,Normal
338,342,416,96,Normal
338,339,418,97,Normal
339,340,417,96,Normal
339,341,418,97,Normal
338,341,417,96,Normal
338,340,416,97,Normal
339,342,418,96,Normal
339,340,419,97,Normal
338,341,416,97,Normal
339,341,417,96,Normal
342,344,421,97,Normal
338,340,418,96,Normal
339,339,418,97,Normal
339,341,417,97,Normal
338,340,417,97,Normal
339,341,418,97,Normal
339,342,419,96,Normal
339,341,420,96,Normal
344,344,423,97,Normal
338,341,418,96,Normal
341,344,420,97,Normal
339,341,417,97,Normal
338,340,417,96,Normal
338,340,419,96,Normal
338,343,416,96,Normal
339,342,418,98,Normal
340,343,420,97,Normal
338,340,417,97,Normal
339,340,418,97,Normal
338,340,418,97,Normal
337,340,418,96,Normal
338,343,414,96,Normal
336,340,417,97,Normal
339,343,417,97,Normal
339,341,418,97,Normal
339,341,418,96,Normal
339,342,418,96,Normal
339,342,417,96,Normal
